AER,KZN,1507.2513282209793,
ASF,KZN,1040.732275029124,
ASF,MRV,448.29152883757564,
CEK,KZN,770.7261920820157,
CEK,OVB,1339.009670422316,
DME,KZN,715.851543048932,
DME,NBC,892.6349128552652,
DME,TGK,915.5477364145161,
DME,UUA,951.7010066265458,
EGO,KGD,1172.2125872146273,
EGO,KZN,1008.5379720575861,
GYD,NBC,1685.9027082903453,
KGD,EGO,1172.2125872146273,
KZN,AER,1507.2513282209793,
KZN,ASF,1040.732275029124,
KZN,CEK,770.7261920820158,
KZN,DME,715.851543048932,
KZN,EGO,1008.5379720575861,
KZN,LED,1217.188362839799,
KZN,SVX,723.7276206862977,
LED,KZN,1217.188362839799,
LED,NBC,1373.2742962568227,
LED,UUA,1464.4705753932608,
MRV,ASF,448.29152883757564,
NBC,DME,892.6349128552652,
NBC,GYD,1685.9027082903453,
NBC,LED,1373.2742962568227,
NBC,SVX,554.8600801219061,
NJC,SVX,1012.88880443853,
NJC,UUA,1557.6117701073679,
NUX,SVX,1324.9859955976724,
OVB,CEK,1339.009670422316,
OVB,SVX,1370.6844090115285,
SVX,KZN,723.7276206862977,
SVX,NBC,554.8600801219062,
SVX,NJC,1012.88880443853,
SVX,NUX,1324.9859955976724,
SVX,OVB,1370.6844090115283,
TGK,DME,915.5477364145161,
UUA,DME,951.7010066265458,
UUA,LED,1464.4705753932608,
UUA,NJC,1557.6117701073679,
BTK,IKT,488.47759229227535,
BTK,OVB,1199.6980111202597,
CEK,OVB,1339.009670422316,
HTA,IKT,608.8150210813327,
IKT,BTK,488.47759229227535,
IKT,HTA,608.8150210813327,
IKT,KCK,655.3705591731474,
IKT,ODO,882.4357853038407,
IKT,OVB,1459.236471905058,
IKT,UKX,517.6324781877765,
IKT,ULK,1134.858506359695,
IKT,YKS,1860.5406620529852,
KCK,IKT,655.3705591731474,
MJZ,OVB,1968.0437692674527,
ODO,IKT,882.4357853038407,
OVB,BTK,1199.69801112026,
OVB,CEK,1339.009670422316,
OVB,IKT,1459.2364719050577,
UKX,IKT,517.6324781877765,
ULK,IKT,1134.858506359695,
YKS,IKT,1860.5406620529852,
AYP,LIM,340.0766652657655,
CUZ,LIM,586.073561863717,
CUZ,PEM,311.0224189136185,
HUU,LIM,258.2290400523235,
IQT,PCL,529.70059847725,
IQT,TPP,454.986952649512,
LIM,AYP,340.0766652657655,
LIM,CUZ,586.073561863717,
LIM,HUU,258.2290400523235,
LIM,PCL,491.48199296143935,
LIM,TPP,618.5773540872717,
PCL,IQT,529.70059847725,
PCL,LIM,491.48199296143935,
PCL,TPP,287.37173665658383,
PEM,CUZ,311.0224189136185,
TPP,IQT,454.986952649512,
TPP,LIM,618.5773540872717,
TPP,PCL,287.37173665658383,
ABJ,BOY,657.6012539492517,
ABJ,OUA,832.1642936987834,
ACC,OUA,764.9596547104412,
BKO,ABJ,921.6571721260752,
BKO,DKR,1059.8722579077073,
BKO,OUA,699.4722276153636,
BOY,ABJ,657.6012539492517,
BOY,OUA,334.3738694492078,
COO,LFW,126.72339266117827,
COO,OUA,792.135245296852,
DKR,BKO,1059.8722579077073,
DKR,OUA,1747.5313235986494,
LFW,OUA,752.2066967227111,
NIM,OUA,419.87512578613274,
OUA,ABJ,832.1642936987834,
OUA,ACC,764.9596547104412,
OUA,BKO,699.4722276153636,
OUA,BOY,334.3738694492078,
OUA,COO,792.135245296852,
OUA,DKR,1747.5313235986494,
OUA,LFW,752.2066967227111,
OUA,NIM,419.8751257861328,
BOG,GYE,994.2175187424513,
BOG,UIO,712.4270714372167,
CLO,GYE,744.0482958312937,
GYE,BOG,994.2175187424513,
GYE,CLO,744.0482958312937,
GYE,SCY,1091.0995916999266,
GYE,UIO,282.2962414209954,
OCC,UIO,156.90912964618857,
SCY,GYE,1091.0995916999266,
UIO,BOG,712.4270714372166,
UIO,GYE,282.2962414209954,
UIO,OCC,156.90912964618857,
BDS,ZRH,1065.0416647518703,
BOD,ZRH,771.1880007508961,
BRS,ZRH,923.0217776096275,
GVA,LPA,2771.8975497866054,
LCA,ZRH,2505.8826029149177,
LPA,ZRH,3002.0243203422,
RMF,ZRH,3338.3841956875126,
TFS,GVA,2833.1424828235995,
ZRH,BDS,1065.0416647518703,
ZRH,BOD,771.1880007508961,
ZRH,BRS,923.0217776096275,
ZRH,LCA,2505.8826029149177,
ZRH,LPA,3002.0243203422,
ZRH,RMF,3338.3841956875126,
AJR,LYC,118.89262221046835,
ARN,GEV,844.2142635152663,
ARN,HAD,444.60401585033907,
ARN,JKG,306.29193205658055,
ARN,KRF,377.8863576765961,
ARN,KSD,259.22004791196423,
ARN,LYC,546.1772456392787,
ARN,MHQ,122.22016614367912,
ARN,OER,421.639035100741,
ARN,POR,292.40916101384346,
ARN,TRF,436.2815153241694,
ARN,VBY,222.61805015077104,
ARN,VHM,550.9122500445233,
ARN,VXO,355.590943781928,
GEV,ARN,844.2142635152663,
GEV,KRF,475.96969634332885,
HAD,ARN,444.60401585033907,
HAD,JKG,140.43202448462148,
HAD,VXO,119.13411902879074,
HMV,VHM,159.0493111369556,
JKG,ARN,306.29193205658055,
JKG,HAD,140.43202448462148,
KOK,POR,260.5399437432734,
KRF,ARN,377.8863576765961,
KRF,GEV,475.96969634332885,
KSD,ARN,259.22004791196423,
LYC,AJR,118.89262221046835,
LYC,ARN,546.1772456392787,
MHQ,ARN,122.22016614367912,
MHQ,TKU,137.32813969194865,
OER,ARN,421.639035100741,
OSL,VXO,414.17691445993813,
POR,ARN,292.40916101384346,
POR,KOK,260.5399437432734,
